0	1
1	0
1	2
2	1
2	3
3	2
3	4
4	3
4	5
5	4
5	6
5	81
6	5
6	7
7	6
7	8
7	96
7	166
8	7
8	9
8	121
9	8
9	10
9	28
10	9
10	11
10	149
10	72
10	49
11	10
11	12
12	11
12	13
12	75
13	12
13	14
14	13
14	15
15	14
15	16
16	15
16	17
17	16
17	18
18	17
19	20
20	19
20	21
21	20
21	22
22	21
22	23
23	22
23	24
24	23
24	25
25	24
25	26
25	84
26	25
26	27
27	26
27	28
27	148
27	120
28	27
28	29
28	9
28	48
29	28
29	30
29	98
29	137
30	29
30	31
30	78
31	30
31	32
32	31
32	33
33	32
33	34
33	180
34	33
34	35
35	34
35	36
36	35
36	37
37	36
37	38
38	37
38	39
38	179
39	38
40	41
41	40
41	42
42	41
42	43
43	42
43	44
44	43
44	45
45	44
45	46
46	45
46	47
47	46
47	48
47	80
47	167
48	47
48	49
48	28
49	48
49	50
49	149
49	72
49	10
50	49
50	51
51	50
51	52
51	86
51	69
52	51
52	53
53	52
53	54
54	53
54	55
54	62
55	54
55	56
56	55
56	57
57	56
57	58
58	57
58	59
59	58
59	60
60	59
60	61
61	60
62	63
62	54
63	62
63	64
64	63
64	65
65	64
65	66
66	65
66	67
67	66
67	68
68	67
68	69
69	68
69	70
69	73
69	86
69	51
70	69
70	71
71	70
71	72
72	71
72	10
72	49
73	69
73	74
74	73
75	76
75	86
75	12
76	75
76	77
76	99
77	76
77	78
77	151
78	77
78	79
78	30
79	78
79	80
79	136
79	123
80	79
80	81
80	47
80	167
81	80
81	82
81	5
82	81
82	83
82	94
83	82
83	84
83	146
84	83
84	85
84	25
85	84
85	86
85	119
86	85
86	75
86	69
86	51
87	88
88	87
88	89
89	88
89	90
90	89
90	91
91	90
91	92
91	192
92	91
92	93
93	92
93	94
94	93
94	95
94	82
95	94
95	96
96	95
96	97
96	7
96	166
97	96
97	98
97	122
98	97
98	99
98	137
98	29
99	98
99	100
99	76
100	99
100	101
101	100
101	102
102	101
102	103
103	102
103	104
104	103
104	105
105	104
105	106
106	105
106	107
107	106
107	108
108	107
108	109
109	108
109	110
110	109
111	112
112	111
112	113
113	112
113	114
114	113
114	115
115	114
115	116
116	115
116	117
117	116
117	118
118	117
118	119
119	118
119	120
119	85
120	119
120	121
120	148
120	27
121	120
121	122
121	8
122	121
122	123
122	97
123	122
123	124
123	79
123	136
124	123
124	125
124	169
125	124
125	126
126	125
126	127
127	126
127	128
128	127
128	129
129	128
130	131
131	130
131	132
132	131
132	133
133	132
133	134
134	133
134	135
135	134
135	136
135	168
136	135
136	137
136	79
136	123
137	136
137	98
137	29
138	139
139	138
139	140
140	139
140	141
141	140
141	142
142	141
142	143
143	142
143	144
143	188
144	143
144	145
145	144
145	146
146	145
146	147
146	83
147	146
147	148
147	165
148	147
148	149
148	120
148	27
149	148
149	150
149	10
149	49
150	149
150	151
151	150
151	152
151	77
152	151
152	153
153	152
153	154
154	153
154	155
155	154
155	156
156	155
156	157
156	182
157	156
157	158
158	157
158	159
159	158
159	160
160	159
160	161
161	160
161	162
162	161
162	183
163	164
164	163
164	165
165	164
165	166
165	147
166	165
166	167
166	96
166	7
167	166
167	168
167	80
167	47
168	167
168	169
168	135
169	168
169	170
169	124
170	169
170	171
171	170
171	172
172	171
172	173
173	172
173	174
174	173
174	175
175	174
175	176
176	175
176	177
177	176
177	178
178	177
178	179
179	178
179	38
180	181
180	33
181	180
181	182
182	181
182	156
183	184
183	162
184	183
184	185
185	184
185	186
186	185
186	187
187	186
188	189
188	143
189	188
189	190
190	189
190	191
191	190
191	192
192	191
192	193
192	91
193	192
